epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.205,1.83569,3.88073,1.14571,0.00583,0.06863,0.00677,0.00224,1.97937,4.53567,1.34056,0.093035,3.5e-05,3.5e-05
2,285.636,1.70632,2.68966,1.11762,0.00048,0.04412,0.00308,0.00061,2.65252,4.90577,1.76777,0.0850729,7.28786e-05,7.28786e-05
3,426.86,1.75015,1.99946,1.10818,0.16667,0.0098,0.0883,0.02649,2.4266,4.58511,1.61187,0.0771085,0.000108494,0.000108494
4,559.827,1.71645,1.8284,1.06766,0.16667,0.0098,0.0883,0.02649,1.98764,4.3909,1.35703,0.0691418,0.000141847,0.000141847
5,701.519,1.70837,1.71091,1.10378,0.23684,0.08824,0.14872,0.0585,1.81466,4.20395,1.23521,0.0611729,0.000172937,0.000172937
6,833.825,1.65808,1.64503,1.09704,0.34375,0.11405,0.20734,0.10207,1.90536,4.1435,1.31513,0.0532018,0.000201764,0.000201764
7,963.664,1.615,1.57955,1.08695,0.33165,0.14967,0.21679,0.10321,2.07487,4.07186,1.40937,0.0452283,0.000228329,0.000228329
8,1090.39,1.56607,1.53786,1.06012,0.375,0.49281,0.3296,0.1626,1.95969,3.79232,1.3232,0.0372526,0.00025263,0.00025263
9,1224.57,1.60049,1.52209,1.10323,0.29576,0.8732,0.40855,0.21391,1.71893,3.33569,1.1795,0.0292747,0.000274669,0.000274669
10,1355.25,1.57502,1.49655,1.06459,0.23323,0.98529,0.42009,0.22799,1.61208,2.84227,1.11681,0.0212944,0.000294444,0.000294444
11,1492.54,1.60092,1.52523,1.07455,0.17534,0.9902,0.44717,0.21644,1.70579,2.62643,1.11737,0.013312,0.000311957,0.000311957
12,1623.66,1.53964,1.48194,1.06296,0.15185,1,0.47156,0.2591,1.53131,2.29439,1.05178,0.00532721,0.000327207,0.000327207
13,1760.98,1.56534,1.48124,1.04813,0.38069,0.7585,0.43686,0.21615,1.6766,2.03029,1.13098,0.000330286,0.000330286,0.000330286
14,1894.58,1.56913,1.47861,1.05869,0.3956,0.7781,0.46803,0.23942,1.6031,1.73554,1.111,0.000316143,0.000316143,0.000316143
15,2028.18,1.51541,1.42345,1.05162,0.42262,0.82124,0.49469,0.27978,1.50414,1.53454,1.06492,0.000302,0.000302,0.000302
16,2162.54,1.51714,1.4307,1.03117,0.43508,0.7457,0.48512,0.2552,1.57789,1.48508,1.10538,0.000287857,0.000287857,0.000287857
17,2299.17,1.49818,1.39497,1.02997,0.42648,0.702,0.5051,0.26937,1.54771,1.48548,1.09322,0.000273714,0.000273714,0.000273714
18,2434.02,1.47384,1.3955,1.02154,0.45034,0.71295,0.55047,0.29572,1.5252,1.54135,1.07549,0.000259571,0.000259571,0.000259571
19,2569.31,1.51401,1.40093,1.03671,0.43369,0.66579,0.54038,0.29013,1.52608,1.59393,1.07907,0.000245429,0.000245429,0.000245429
20,2704.31,1.47696,1.38948,1.03014,0.44416,0.69848,0.52467,0.2951,1.50208,1.55429,1.07552,0.000231286,0.000231286,0.000231286
21,2836.59,1.45827,1.35281,1.04082,0.43633,0.68654,0.52392,0.29304,1.53517,1.49875,1.08273,0.000217143,0.000217143,0.000217143
22,2969.24,1.45667,1.34801,1.03449,0.42929,0.7461,0.52753,0.28575,1.59792,1.4604,1.098,0.000203,0.000203,0.000203
23,3101.38,1.44503,1.31237,1.0342,0.40286,0.72838,0.53339,0.29057,1.58412,1.44044,1.08953,0.000188857,0.000188857,0.000188857
24,3236.15,1.45086,1.29981,1.02807,0.39656,0.73872,0.51621,0.29347,1.51338,1.41428,1.06605,0.000174714,0.000174714,0.000174714
25,3377.95,1.46025,1.30703,1.0165,0.43582,0.71359,0.51572,0.29088,1.52101,1.38743,1.06911,0.000160571,0.000160571,0.000160571
26,3508.86,1.48059,1.43633,1.07882,0.46133,0.69281,0.52281,0.29392,1.54332,1.39285,1.0689,0.000146429,0.000146429,0.000146429
27,3641.14,1.47105,1.36833,1.06287,0.47608,0.71503,0.5322,0.29766,1.57899,1.40849,1.0767,0.000132286,0.000132286,0.000132286
28,3773.84,1.44341,1.32889,1.0418,0.47851,0.70654,0.5267,0.29471,1.55673,1.36337,1.07966,0.000118143,0.000118143,0.000118143
29,3903.11,1.4166,1.31965,1.05515,0.45997,0.67974,0.5271,0.29807,1.53084,1.34399,1.08785,0.000104,0.000104,0.000104
30,4032.74,1.41562,1.3015,1.0597,0.44553,0.63072,0.5201,0.29715,1.51449,1.35367,1.08834,8.98571e-05,8.98571e-05,8.98571e-05
31,4161.97,1.40138,1.29069,1.02816,0.46523,0.68824,0.52607,0.30591,1.50191,1.34881,1.07644,7.57143e-05,7.57143e-05,7.57143e-05
32,4292.21,1.40474,1.30768,1.05097,0.43995,0.73434,0.53607,0.31071,1.51922,1.3611,1.06983,6.15714e-05,6.15714e-05,6.15714e-05
33,4423.77,1.38035,1.28434,1.04766,0.44567,0.71706,0.54621,0.30994,1.542,1.39374,1.07102,4.74286e-05,4.74286e-05,4.74286e-05
34,4552.78,1.39151,1.28171,1.03081,0.44465,0.71503,0.54766,0.31237,1.53989,1.40575,1.06801,3.32857e-05,3.32857e-05,3.32857e-05
35,4687.66,1.43022,1.25819,1.02566,0.43915,0.72051,0.54365,0.31716,1.52841,1.40425,1.06483,1.91429e-05,1.91429e-05,1.91429e-05
