epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1158,2.67923,4.08088,1.27378,0.00057,0.02083,0.00029,3e-05,2.10685,3.80785,1.05614,4e-05,4e-05,4e-05
2,40.2313,2.44935,3.87847,1.16817,0.00944,0.35417,0.00651,0.00233,1.83203,3.67226,0.97663,6.7e-05,6.7e-05,6.7e-05
3,54.364,2.37421,3.57701,1.17747,0.02,0.75,0.03874,0.01399,1.76351,3.58845,0.93727,5.44e-05,5.44e-05,5.44e-05
