epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.66067,2.90909,4.2602,2.17118,0.37364,0.48997,0.32703,0.16928,1.89581,3.10194,1.40517,0.087065,6.5e-05,6.5e-05
2,15.2182,1.81872,1.83899,1.40983,0.48965,0.36678,0.32539,0.14072,1.89799,2.55847,1.48772,0.0731323,0.000132327,0.000132327
3,22.2906,1.66478,1.53667,1.3302,0.53863,0.62336,0.56073,0.23622,1.82333,1.92688,1.39899,0.0591969,0.000196882,0.000196882
4,29.4798,1.6172,1.48947,1.29037,0.54212,0.83237,0.66955,0.26397,1.83684,1.66186,1.49153,0.0452587,0.000258665,0.000258665
5,36.9192,1.65415,1.49452,1.39221,0.53715,0.66524,0.61177,0.20824,2.14035,1.58713,1.82712,0.0313177,0.000317676,0.000317676
6,43.9909,1.63516,1.49123,1.36535,0.66988,0.69413,0.74871,0.3083,1.68848,1.40786,1.47395,0.0173739,0.000373915,0.000373915
7,50.9365,1.55728,1.42002,1.29429,0.69823,0.74463,0.7956,0.32122,1.69504,1.36464,1.47945,0.00342738,0.000427382,0.000427382
8,58.4983,1.60627,1.38815,1.26461,0.58473,0.729,0.71191,0.2803,1.65523,1.42334,1.47043,0.0004307,0.0004307,0.0004307
9,65.7212,1.52446,1.35007,1.26304,0.70092,0.75395,0.80487,0.35931,1.59237,1.34219,1.41987,0.0004208,0.0004208,0.0004208
10,72.9086,1.50115,1.27074,1.25442,0.71262,0.81853,0.82585,0.35463,1.78773,1.23686,1.51446,0.0004109,0.0004109,0.0004109
11,79.8424,1.58798,1.27904,1.30179,0.74562,0.82699,0.83283,0.33023,1.86823,1.26033,1.5521,0.000401,0.000401,0.000401
12,87.2888,1.51795,1.25909,1.2818,0.64068,0.88462,0.82158,0.41728,1.58011,1.17889,1.40103,0.0003911,0.0003911,0.0003911
13,94.7108,1.4876,1.24366,1.22453,0.75941,0.81712,0.86231,0.41333,1.59913,1.17163,1.40529,0.0003812,0.0003812,0.0003812
14,102.505,1.52507,1.1987,1.22681,0.70984,0.81711,0.84331,0.42623,1.60708,1.12083,1.42333,0.0003713,0.0003713,0.0003713
15,109.683,1.531,1.21748,1.25304,0.70967,0.85064,0.83212,0.40249,1.60336,1.12943,1.42625,0.0003614,0.0003614,0.0003614
16,116.939,1.53461,1.20792,1.25098,0.72968,0.81196,0.81332,0.31088,1.70832,1.31774,1.53302,0.0003515,0.0003515,0.0003515
17,124.144,1.49666,1.17833,1.25989,0.81961,0.86075,0.89497,0.44002,1.57613,1.14987,1.44307,0.0003416,0.0003416,0.0003416
