epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8736,2.28327,2.65003,1.59426,0.10125,0.54024,0.11331,0.03168,2.60127,6.22495,1.82468,0.087065,6.5e-05,6.5e-05
2,135.854,1.74717,1.60822,1.32837,0.34886,0.50121,0.30224,0.07724,2.40793,2.12744,1.7284,0.0731323,0.000132327,0.000132327
3,202.773,1.66168,1.42845,1.2829,0.32622,0.44322,0.36609,0.104,2.37344,2.1429,1.89405,0.0591969,0.000196882,0.000196882
4,253.435,1.68935,1.35306,1.36644,0.48094,0.61534,0.53471,0.15015,2.33473,1.59338,1.96487,0.0452587,0.000258665,0.000258665
5,309.482,1.67268,1.40822,1.36201,0.45595,0.61075,0.46679,0.12199,2.45055,1.53015,2.04686,0.0313177,0.000317676,0.000317676
6,358.253,1.65017,1.44798,1.352,0.67105,0.74433,0.78389,0.37359,1.6714,1.32994,1.41304,0.0173739,0.000373915,0.000373915
7,405.812,1.59989,1.36772,1.31416,0.54601,0.79523,0.69788,0.32237,1.69154,1.34343,1.42537,0.00342738,0.000427382,0.000427382
8,459.777,1.65306,1.33705,1.26661,0.61222,0.81727,0.70781,0.2834,1.78132,1.3537,1.46821,0.0004307,0.0004307,0.0004307
9,524.207,1.5739,1.28181,1.30041,0.67986,0.72691,0.76861,0.31653,1.7436,1.37572,1.4544,0.0004208,0.0004208,0.0004208
10,590.501,1.54096,1.23395,1.2929,0.69492,0.75406,0.7996,0.2906,1.91637,1.46272,1.56625,0.0004109,0.0004109,0.0004109
11,635.212,1.59083,1.24855,1.33666,0.73692,0.75165,0.83608,0.31486,1.8935,1.26752,1.54828,0.000401,0.000401,0.000401
12,685.895,1.55772,1.24534,1.28768,0.69211,0.78315,0.79332,0.39848,1.61344,1.1508,1.35595,0.0003911,0.0003911,0.0003911
13,737.66,1.5719,1.23957,1.28328,0.70058,0.78481,0.78678,0.29098,1.88424,1.24492,1.5359,0.0003812,0.0003812,0.0003812
14,789.054,1.59331,1.16041,1.26106,0.75718,0.81229,0.86068,0.41211,1.66322,1.14009,1.3742,0.0003713,0.0003713,0.0003713
15,839.265,1.56905,1.19427,1.28451,0.75974,0.76636,0.84896,0.41354,1.62708,1.16385,1.35596,0.0003614,0.0003614,0.0003614
