epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9722,2.43624,3.72416,1.18249,0.02417,0.91772,0.06699,0.02503,1.83959,3.59253,0.91172,0.00016,0.00016,0.00016
2,83.1727,2.15813,2.14052,1.02046,0.026,0.98734,0.42523,0.16483,1.92224,3.15278,0.92644,0.000326536,0.000326536,0.000326536
3,113.792,2.0267,1.37586,1.05377,0.02583,0.98101,0.61548,0.18101,1.91481,2.97739,0.94835,0.000478816,0.000478816,0.000478816
4,144.191,2.03382,1.29966,1.01741,0.02617,0.99367,0.43602,0.17345,1.64284,2.8195,0.90208,0.00061684,0.00061684,0.00061684
5,174.675,2.03448,1.25471,1.04221,0.02567,0.97468,0.85494,0.34218,1.98918,2.4949,0.96866,0.000740608,0.000740608,0.000740608
6,205.14,2.02425,1.22818,1.06156,0.78027,0.94937,0.85137,0.33685,1.88402,2.16926,0.96159,0.00085012,0.00085012,0.00085012
7,236.381,1.99947,1.21465,1.01146,0.85403,0.52532,0.84791,0.33292,1.81244,2.02377,0.93261,0.000945376,0.000945376,0.000945376
8,267.473,1.99378,1.12736,1.02721,0.73477,0.87668,0.77648,0.26905,1.86422,1.81513,0.93702,0.00102638,0.00102638,0.00102638
9,299.819,1.9236,1.12112,1.0006,0.83668,0.87545,0.90718,0.36597,1.73113,1.72389,0.91483,0.00109312,0.00109312,0.00109312
10,331.095,1.99878,1.14713,1.00909,0.85186,0.94304,0.91278,0.34773,1.83393,1.58927,0.9329,0.00114561,0.00114561,0.00114561
11,363.332,1.93728,1.12452,0.99746,0.8668,0.91772,0.88767,0.31586,2.07766,1.40594,0.98388,0.00118384,0.00118384,0.00118384
12,394.579,2.03523,1.07196,1.01488,0.94263,0.9557,0.9263,0.34164,2.1151,1.46372,0.98841,0.0011288,0.0011288,0.0011288
13,425.231,1.92933,1.05937,1.00702,0.90953,0.97468,0.94663,0.41758,1.84962,1.46193,0.93562,0.0010496,0.0010496,0.0010496
14,455.719,1.85751,1.05431,0.99241,0.9396,0.98101,0.96501,0.43419,1.79688,1.27422,0.92803,0.0009704,0.0009704,0.0009704
15,486.514,1.87404,1.02484,0.98904,0.95469,0.97468,0.96054,0.4314,1.8673,1.07182,0.94338,0.0008912,0.0008912,0.0008912
16,516.665,1.85759,1.22978,1.00771,0.95053,0.97284,0.95843,0.35878,2.06515,1.03802,0.98565,0.000812,0.000812,0.000812
17,546.252,1.82437,1.09915,1.00526,0.9043,0.9557,0.91294,0.32792,2.14163,1.05063,1.00242,0.0007328,0.0007328,0.0007328
18,576.896,1.91465,1.12538,1.02892,0.94221,0.96203,0.9357,0.35093,2.0287,1.04837,0.97487,0.0006536,0.0006536,0.0006536
19,608.489,1.75516,1.03979,1.00843,0.97257,0.98734,0.97385,0.40612,1.93238,0.98848,0.95608,0.0005744,0.0005744,0.0005744
20,640.495,1.79888,1.00808,1.00882,0.97254,0.98734,0.97314,0.41805,1.87973,0.9948,0.94715,0.0004952,0.0004952,0.0004952
21,671.391,1.77782,0.98911,1.00367,0.97299,0.98734,0.97274,0.42558,1.85041,0.99614,0.94016,0.000416,0.000416,0.000416
22,701.277,1.76793,0.98306,1.01448,0.97331,0.98734,0.97272,0.42939,1.85426,0.99765,0.94046,0.0003368,0.0003368,0.0003368
23,731.036,1.76646,0.94695,1.01933,0.97305,0.98734,0.97198,0.431,1.85993,0.98988,0.94021,0.0002576,0.0002576,0.0002576
24,761.865,1.77477,0.95826,1.02098,0.97349,0.98734,0.97216,0.43745,1.85696,0.9693,0.9381,0.0001784,0.0001784,0.0001784
25,791.593,1.72941,0.92412,1.00788,0.97374,0.98734,0.97186,0.44463,1.84723,0.95303,0.9359,9.92e-05,9.92e-05,9.92e-05
