epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7723,2.11164,3.63625,1.07237,0.00638,1,0.30797,0.098,2.03765,4.19477,1.11565,0.09001,1e-05,1e-05
2,97.6362,1.8889,2.7855,1.0349,0.00623,0.97727,0.42595,0.15744,1.78244,3.96833,1.07282,0.0790196,1.9614e-05,1.9614e-05
3,137.719,1.95616,2.57568,1.0515,0.00623,0.97727,0.47428,0.1982,1.76417,3.67601,1.04539,0.0680278,2.7776e-05,2.7776e-05
4,179.553,2.00167,2.29868,1.04281,0.00638,1,0.51397,0.20162,1.80789,3.48299,1.05551,0.0570345,3.4486e-05,3.4486e-05
5,221.205,1.90532,2.13063,1.01913,0.00656,1,0.50502,0.19266,1.83452,3.26851,1.0693,0.0460397,3.9744e-05,3.9744e-05
6,263.191,1.87807,2.18511,1.07627,0.00675,1,0.4928,0.1904,1.85234,3.04374,1.08384,0.0350435,4.355e-05,4.355e-05
7,319.526,1.86457,2.10096,1.07892,0.46338,0.52273,0.54675,0.22408,1.8823,2.74164,1.10022,0.0240459,4.5904e-05,4.5904e-05
8,357.364,1.88201,2.04027,1.06956,0.45726,0.68938,0.55228,0.22617,1.90176,2.5839,1.10769,0.0130468,4.6806e-05,4.6806e-05
9,397.858,1.86692,1.93608,1.08412,0.43862,0.70455,0.53702,0.23511,1.91352,2.35675,1.1055,0.00204626,4.6256e-05,4.6256e-05
10,439.333,1.82755,1.92413,1.06134,0.43308,0.67717,0.52904,0.23237,1.9172,2.30666,1.1031,4.06e-05,4.06e-05,4.06e-05
11,477.591,1.83567,1.90381,1.0637,0.42927,0.63636,0.52221,0.22794,1.918,2.28631,1.10092,3.4e-05,3.4e-05,3.4e-05
12,516.479,1.82007,1.8819,1.05499,0.4091,0.66088,0.51218,0.223,1.91115,2.30563,1.09697,2.74e-05,2.74e-05,2.74e-05
13,553.83,1.85826,1.92518,1.01946,0.4467,0.59091,0.5213,0.22926,1.90139,2.33735,1.09381,2.08e-05,2.08e-05,2.08e-05
14,591.005,1.75648,1.83929,1.05627,0.44929,0.59091,0.51247,0.23243,1.89802,2.37231,1.09179,1.42e-05,1.42e-05,1.42e-05
15,631.039,1.77929,1.86242,1.05147,0.42693,0.59091,0.51998,0.2345,1.9009,2.43526,1.09084,7.6e-06,7.6e-06,7.6e-06
