epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0446,2.64791,4.05736,1.24712,0.00085,0.03158,0.00044,0.00013,1.9553,3.76316,1.03452,6e-05,6e-05,6e-05
2,60.2771,2.24983,3.58541,1.1,0.02361,0.89474,0.0883,0.03157,1.75302,3.51456,0.93948,0.000134456,0.000134456,0.000134456
3,82.6731,2.22254,2.53072,1.03834,0.02556,0.96842,0.09541,0.03504,1.95931,3.30241,0.96463,0.000202576,0.000202576,0.000202576
4,105.631,2.08271,1.48199,1.03315,0.02556,0.96842,0.33709,0.14719,1.73953,3.02498,0.9377,0.00026436,0.00026436,0.00026436
5,128.273,1.92264,1.34052,1.00943,0.02583,0.97895,0.15623,0.05945,1.76396,3.00546,0.93907,0.000319808,0.000319808,0.000319808
6,150.591,1.98712,1.24246,1.02416,0.02611,0.98947,0.06715,0.02752,1.73839,3.00705,0.92855,0.00036892,0.00036892,0.00036892
7,173.378,1.91125,1.2311,0.9879,0.02639,1,0.16698,0.07776,1.74575,2.90531,0.93467,0.000411696,0.000411696,0.000411696
8,196.098,1.94361,1.19356,1.03994,0.02639,1,0.85448,0.37318,1.75497,2.67619,0.93629,0.000448136,0.000448136,0.000448136
9,220.762,2.02492,1.14254,1.03227,0.02639,1,0.93596,0.39384,1.75219,2.5291,0.94838,0.00047824,0.00047824,0.00047824
10,243.339,1.87662,1.10478,0.98624,0.02611,0.98947,0.93355,0.39921,1.74633,2.46666,0.92947,0.000502008,0.000502008,0.000502008
11,265.703,1.98651,1.05435,0.99712,0.05016,0.95789,0.87202,0.27777,2.06347,2.48376,0.99295,0.00051944,0.00051944,0.00051944
12,288.543,1.97046,1.10654,1.01334,0.02611,0.98947,0.90789,0.33002,1.81335,2.49404,0.94576,0.000530536,0.000530536,0.000530536
13,311.809,1.9723,1.08534,0.98434,0.02611,0.98947,0.80366,0.30581,1.71406,2.46112,0.93773,0.000535296,0.000535296,0.000535296
14,333.959,1.8953,1.01817,1.00001,0.02611,0.98947,0.84805,0.31396,1.77907,2.38154,0.95431,0.00053372,0.00053372,0.00053372
15,356.456,1.91212,1.02648,1.00692,0.06063,0.94737,0.82529,0.30076,1.96996,2.22979,0.99696,0.000525808,0.000525808,0.000525808
16,378.778,1.82082,1.12137,1.02732,0.025,0.94737,0.49255,0.18112,2.04023,2.25003,1.01121,0.00051156,0.00051156,0.00051156
17,400.185,1.82734,1.03198,1.0558,0.02583,0.97895,0.51734,0.19807,1.90605,2.30609,0.98566,0.000490976,0.000490976,0.000490976
18,422.114,1.79291,1.04849,1.03144,0.89436,0.96842,0.94786,0.37554,1.87421,2.12473,0.96831,0.000464056,0.000464056,0.000464056
19,444.062,1.7759,1.02443,1.00085,0.95991,0.81053,0.94766,0.37603,1.89684,1.96746,0.97336,0.0004308,0.0004308,0.0004308
20,466.641,1.79356,0.98563,1.03198,0.93586,0.61441,0.89955,0.35987,1.93214,1.86236,0.98188,0.000391208,0.000391208,0.000391208
21,490.904,1.85095,1.01008,1.01475,0.96207,0.80106,0.92123,0.3316,1.96662,1.73542,0.99217,0.00034528,0.00034528,0.00034528
22,522.166,1.74167,0.97395,0.97289,0.97559,0.84131,0.94397,0.35884,1.88493,1.68024,0.97814,0.000293016,0.000293016,0.000293016
23,546.946,1.71743,0.96351,0.99032,0.97725,0.90425,0.95568,0.39071,1.82944,1.60683,0.96795,0.000234416,0.000234416,0.000234416
24,571.641,1.73584,0.96601,0.98469,0.96824,0.96275,0.94909,0.41796,1.7874,1.50905,0.9637,0.00016948,0.00016948,0.00016948
25,594.267,1.69723,0.99381,0.97164,0.96795,0.97895,0.94846,0.42771,1.78778,1.40742,0.96365,9.8208e-05,9.8208e-05,9.8208e-05
