epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3143,1.79837,4.15717,1.15953,0.00017,0.01136,0.0001,7e-05,1.5501,4.12611,1.03162,0.09801,1e-05,1e-05
2,116.062,1.64775,3.59928,1.03645,0.00167,0.03409,0.00093,0.00049,1.72279,4.33022,1.14515,0.095024,2.401e-05,2.401e-05
3,165.095,1.56621,3.17876,0.98999,0.00167,0.03409,0.00093,0.00049,2.40007,5.29873,1.4201,0.0920368,3.6832e-05,3.6832e-05
4,214.85,1.58468,2.72326,1.03073,0.00167,0.03409,0.00093,0.00049,2.98954,6.8269,1.71248,0.0890485,4.8466e-05,4.8466e-05
5,263.692,1.58476,2.26353,1.03421,0.00167,0.03409,0.00093,0.00049,3.24922,6.81872,1.97869,0.0860589,5.8912e-05,5.8912e-05
6,311.855,1.68963,2.01559,1.04346,0.00167,0.03409,0.00093,0.00049,3.39641,6.3323,2.04001,0.0830682,6.817e-05,6.817e-05
7,359.491,1.62906,1.92141,1.03085,0.00015,0.01136,0.00012,2e-05,2.6925,5.10138,1.58441,0.0800762,7.624e-05,7.624e-05
8,406.789,1.57852,1.83458,1.05307,0.00015,0.01136,0.00632,0.00316,2.393,4.69704,1.4385,0.0770831,8.3122e-05,8.3122e-05
9,452.837,1.62263,1.74424,1.03856,0.00062,0.04545,0.01783,0.00628,2.08563,4.32733,1.28552,0.0740888,8.8816e-05,8.8816e-05
