epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7912,2.56878,4.01466,1.22122,0.0035,0.13291,0.00201,0.00086,1.77802,3.8549,0.95624,8e-05,8e-05,8e-05
2,84.2734,2.12552,3.18769,1.04073,0.0255,0.96835,0.05869,0.02262,1.88001,3.60657,0.92937,0.00016812,0.00016812,0.00016812
3,117.674,2.07047,1.73606,1.03726,0.02517,0.9557,0.07459,0.02934,1.83179,3.34046,0.92959,0.00024304,0.00024304,0.00024304
4,151.152,1.97695,1.31242,1.00183,0.02567,0.97468,0.03823,0.01499,1.76623,3.25913,0.9304,0.00030476,0.00030476,0.00030476
5,184.708,2.0425,1.2391,1.01538,0.02583,0.98101,0.04207,0.01767,1.78958,3.161,0.93839,0.00035328,0.00035328,0.00035328
6,218.885,1.94973,1.34765,1.04449,0.02617,0.99367,0.17253,0.07079,1.70101,3.04353,0.91973,0.0003886,0.0003886,0.0003886
7,256.016,1.87456,1.18154,1.0699,0.0255,0.96835,0.80543,0.28296,1.94005,2.7996,0.95593,0.00041072,0.00041072,0.00041072
8,289.107,1.92832,1.15295,1.03872,0.02617,0.99367,0.85935,0.35502,1.76909,2.78825,0.9246,0.00041964,0.00041964,0.00041964
9,321.039,1.88733,1.16042,1.01831,0.02567,0.97468,0.91503,0.37881,1.82732,2.62574,0.93767,0.00041536,0.00041536,0.00041536
10,352.928,1.87142,1.0857,1.03929,0.80332,0.93671,0.91421,0.33765,1.75908,2.57586,0.9249,0.00039788,0.00039788,0.00039788
11,384.96,1.84045,1.13078,1.00428,0.03051,1,0.93632,0.38714,1.71077,2.58041,0.91227,0.0003672,0.0003672,0.0003672
12,417.05,1.82798,1.06418,1.00787,0.03772,0.98734,0.92457,0.35547,1.76983,2.50548,0.93128,0.00032332,0.00032332,0.00032332
13,449.011,1.84566,1.05407,1.01675,0.91007,0.96203,0.9334,0.36035,1.80052,2.41053,0.94126,0.00026624,0.00026624,0.00026624
14,481.319,1.81346,1.02931,1.01854,0.94647,0.79747,0.96011,0.41788,1.75537,2.17528,0.93778,0.00019596,0.00019596,0.00019596
15,515.946,1.7835,0.99282,1.02726,0.94748,0.6851,0.95303,0.43571,1.73388,1.9819,0.93233,0.00011248,0.00011248,0.00011248
