epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.456,2.20547,2.20996,1.57377,0.26948,0.56385,0.23069,0.09825,1.84457,2.58361,1.45828,0.073135,0.000135,0.000135
2,222.239,1.77681,1.70372,1.29149,0.37264,0.7187,0.48093,0.15108,1.97443,2.00757,1.50542,0.0452696,0.000269555,0.000269555
3,318.193,1.74299,1.67799,1.37809,0.48275,0.84232,0.56422,0.21466,1.90807,1.58763,1.57637,0.0173986,0.000398566,0.000398566
4,421.505,1.70948,1.73716,1.35509,0.36308,0.71797,0.37522,0.11356,1.99323,1.96557,1.65791,0.0004703,0.0004703,0.0004703
5,513.63,1.68213,1.76993,1.33291,0.51996,0.76787,0.59569,0.22156,1.99646,1.69412,1.47089,0.0004604,0.0004604,0.0004604
6,617.815,1.64236,1.60698,1.28508,0.48622,0.79397,0.55633,0.23808,1.82004,1.46476,1.46372,0.0004505,0.0004505,0.0004505
7,711.661,1.6386,1.57935,1.29748,0.60306,0.7931,0.68287,0.31131,1.73971,1.43297,1.45065,0.0004406,0.0004406,0.0004406
8,806.305,1.5744,2.08263,1.19226,0.48192,0.79246,0.68092,0.30455,1.70521,1.51419,1.43892,0.0004307,0.0004307,0.0004307
9,889.516,1.64796,1.45974,1.32481,0.62544,0.7415,0.71904,0.27442,1.7954,1.51607,1.50349,0.0004208,0.0004208,0.0004208
10,980.749,1.5891,1.36967,1.29209,0.68673,0.70755,0.7458,0.29759,1.79743,1.41601,1.47295,0.0004109,0.0004109,0.0004109
11,1071.66,1.57855,1.33633,1.275,0.67455,0.74316,0.75949,0.35233,1.64835,1.32599,1.38313,0.000401,0.000401,0.000401
12,1162.27,1.55991,1.3178,1.2974,0.62654,0.71831,0.67825,0.29053,1.64095,1.3529,1.38423,0.0003911,0.0003911,0.0003911
13,1257.92,1.53646,1.28084,1.31354,0.62338,0.8142,0.74904,0.32264,1.74017,1.3645,1.44788,0.0003812,0.0003812,0.0003812
14,1353.26,1.60848,1.23448,1.26335,0.70094,0.83222,0.81862,0.33205,1.67969,1.26949,1.4163,0.0003713,0.0003713,0.0003713
15,1441.65,1.49395,1.24516,1.31676,0.70116,0.8568,0.80645,0.342,1.68037,1.30007,1.41526,0.0003614,0.0003614,0.0003614
16,1536.06,1.56139,1.22573,1.25636,0.70785,0.81848,0.78313,0.33469,1.67681,1.25853,1.40847,0.0003515,0.0003515,0.0003515
17,1630.63,1.57175,1.21347,1.27299,0.80197,0.80164,0.8698,0.44309,1.53595,1.1253,1.33061,0.0003416,0.0003416,0.0003416
18,1723.72,1.52231,1.19126,1.2975,0.76571,0.81854,0.84931,0.33165,1.73958,1.26617,1.44423,0.0003317,0.0003317,0.0003317
19,1813.94,1.57986,1.17426,1.29801,0.73068,0.82061,0.84304,0.33234,1.73365,1.27006,1.44083,0.0003218,0.0003218,0.0003218
20,1900.16,1.53134,1.15346,1.26164,0.78498,0.79456,0.85819,0.37831,1.66932,1.22317,1.40144,0.0003119,0.0003119,0.0003119
21,1996.55,1.52762,1.16755,1.35104,0.74063,0.77568,0.81233,0.32523,1.82005,1.28661,1.48617,0.000302,0.000302,0.000302
22,2078.99,1.50191,1.1131,1.27929,0.79721,0.8123,0.8796,0.34996,1.84246,1.23301,1.49986,0.0002921,0.0002921,0.0002921
23,2171.19,1.50204,1.12072,1.33149,0.82205,0.83075,0.89221,0.39426,1.7185,1.1588,1.42428,0.0002822,0.0002822,0.0002822
24,2258.75,1.47432,1.11775,1.28912,0.77704,0.78194,0.84043,0.32517,1.82917,1.24967,1.49468,0.0002723,0.0002723,0.0002723
25,2354.95,1.48228,1.08951,1.28685,0.81589,0.7885,0.86718,0.36749,1.74456,1.21433,1.44483,0.0002624,0.0002624,0.0002624
26,2449.3,1.53334,1.12,1.28371,0.81593,0.81575,0.89159,0.47106,1.52754,1.07597,1.32343,0.0002525,0.0002525,0.0002525
27,2543.14,1.48873,1.11793,1.2828,0.78292,0.8181,0.88481,0.44115,1.55977,1.10851,1.34361,0.0002426,0.0002426,0.0002426
28,2634.44,1.46213,1.11405,1.30339,0.73319,0.81495,0.82443,0.33924,1.73084,1.25411,1.45139,0.0002327,0.0002327,0.0002327
29,2736.58,1.50496,1.12586,1.29854,0.78287,0.80438,0.86595,0.40413,1.64314,1.11808,1.39486,0.0002228,0.0002228,0.0002228
30,2839.43,1.43537,1.05184,1.25458,0.81994,0.83916,0.89091,0.45648,1.58896,1.03976,1.35624,0.0002129,0.0002129,0.0002129
31,2927.97,1.48072,1.04352,1.22671,0.78491,0.85323,0.87983,0.43078,1.65173,1.08044,1.38496,0.000203,0.000203,0.000203
32,3019.64,1.4784,1.03893,1.32259,0.80715,0.83117,0.88632,0.39926,1.71429,1.11753,1.42117,0.0001931,0.0001931,0.0001931
33,3122.1,1.44499,1.02012,1.26235,0.80668,0.86095,0.89914,0.40616,1.69783,1.08965,1.41579,0.0001832,0.0001832,0.0001832
34,3224.15,1.43967,1.03234,1.24225,0.80197,0.85875,0.89666,0.43489,1.62683,1.09337,1.37304,0.0001733,0.0001733,0.0001733
35,3316.04,1.4376,0.99297,1.21481,0.80771,0.85653,0.89685,0.44775,1.5947,1.08989,1.35496,0.0001634,0.0001634,0.0001634
36,3405.71,1.43713,0.98906,1.21017,0.85739,0.82856,0.91011,0.44529,1.60629,1.05616,1.36181,0.0001535,0.0001535,0.0001535
37,3499.87,1.41681,0.96916,1.18394,0.79925,0.86365,0.90951,0.422,1.63378,1.06694,1.38051,0.0001436,0.0001436,0.0001436
38,3595.34,1.46059,0.98797,1.18918,0.81784,0.86864,0.91826,0.4477,1.59132,1.01248,1.34964,0.0001337,0.0001337,0.0001337
39,3693.08,1.40405,0.99617,1.27077,0.81724,0.88739,0.91489,0.45006,1.59672,0.9981,1.35244,0.0001238,0.0001238,0.0001238
40,3784.01,1.42776,0.96726,1.25152,0.7562,0.9131,0.90068,0.43398,1.6418,1.0285,1.37886,0.0001139,0.0001139,0.0001139
41,3912.53,1.43944,0.98791,1.3657,0.81405,0.82627,0.88969,0.40155,1.68703,1.06339,1.40699,0.000104,0.000104,0.000104
