epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4341,2.64791,4.05736,1.24712,0.00085,0.03158,0.00044,0.00013,1.9553,3.76316,1.03452,6e-05,6e-05,6e-05
2,58.9719,2.24983,3.58541,1.1,0.02361,0.89474,0.0883,0.03157,1.75302,3.51456,0.93948,0.000134456,0.000134456,0.000134456
3,81.6747,2.22254,2.53072,1.03834,0.02556,0.96842,0.09541,0.03504,1.95931,3.30241,0.96463,0.000202576,0.000202576,0.000202576
4,104.418,2.08271,1.48199,1.03315,0.02556,0.96842,0.33709,0.14719,1.73953,3.02498,0.9377,0.00026436,0.00026436,0.00026436
5,127.71,1.92264,1.34052,1.00943,0.02583,0.97895,0.15623,0.05945,1.76396,3.00546,0.93907,0.000319808,0.000319808,0.000319808
6,150.263,1.98712,1.24246,1.02416,0.02611,0.98947,0.06715,0.02752,1.73839,3.00705,0.92855,0.00036892,0.00036892,0.00036892
7,173.072,1.91125,1.2311,0.9879,0.02639,1,0.16698,0.07776,1.74575,2.90531,0.93467,0.000411696,0.000411696,0.000411696
8,196.391,1.94361,1.19356,1.03994,0.02639,1,0.85448,0.37318,1.75497,2.67619,0.93629,0.000448136,0.000448136,0.000448136
9,218.887,2.02492,1.14254,1.03227,0.02639,1,0.93596,0.39384,1.75219,2.5291,0.94838,0.00047824,0.00047824,0.00047824
10,243.834,1.87662,1.10478,0.98624,0.02611,0.98947,0.93355,0.39921,1.74633,2.46666,0.92947,0.000502008,0.000502008,0.000502008
11,267.455,1.98651,1.05435,0.99712,0.05016,0.95789,0.87202,0.27777,2.06347,2.48376,0.99295,0.00051944,0.00051944,0.00051944
12,291.63,1.97046,1.10654,1.01334,0.02611,0.98947,0.90789,0.33002,1.81335,2.49404,0.94576,0.000530536,0.000530536,0.000530536
13,316.448,1.9723,1.08534,0.98434,0.02611,0.98947,0.80366,0.30581,1.71406,2.46112,0.93773,0.000535296,0.000535296,0.000535296
14,339.265,1.8953,1.01817,1.00001,0.02611,0.98947,0.84805,0.31396,1.77907,2.38154,0.95431,0.00053372,0.00053372,0.00053372
