epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.027,2.19385,2.30337,1.80483,0.61802,0.16255,0.14752,0.0535,1.84802,3.46254,1.43882,0.073135,0.000135,0.000135
2,520.948,1.67844,1.73632,1.39548,0.59006,0.62341,0.61794,0.23933,1.77336,1.7828,1.50164,0.0452682,0.000268194,0.000268194
3,795.314,1.62977,1.55171,1.45377,0.64852,0.68218,0.68197,0.29976,1.7623,1.46233,1.55275,0.0173945,0.000394458,0.000394458
4,1071.07,1.6716,1.63907,1.47193,0.55166,0.6896,0.64205,0.22014,1.95131,1.59575,1.79471,0.000462875,0.000462875,0.000462875
5,1346.08,1.59587,1.55998,1.49083,0.6131,0.75976,0.71569,0.28696,1.7218,1.42816,1.62564,0.0004505,0.0004505,0.0004505
6,1611.49,1.57299,1.44231,1.47883,0.53885,0.66765,0.63402,0.22446,1.96479,1.60345,1.76323,0.000438125,0.000438125,0.000438125
7,1918.36,1.56896,1.48499,1.51029,0.67178,0.67311,0.6774,0.28103,1.75382,1.50885,1.62997,0.00042575,0.00042575,0.00042575
8,2212.48,1.51502,2.01478,1.39646,0.65271,0.77073,0.77931,0.31769,1.71759,1.33905,1.58596,0.000413375,0.000413375,0.000413375
9,2491.87,1.62875,1.52692,1.4736,0.55963,0.82326,0.68509,0.25982,1.84438,1.5128,1.66646,0.000401,0.000401,0.000401
10,2764.9,1.50153,1.40313,1.40001,0.57317,0.8693,0.7705,0.32737,1.81334,1.36929,1.63811,0.000388625,0.000388625,0.000388625
11,3058.42,1.52468,1.30507,1.45778,0.69432,0.75219,0.81275,0.34646,1.81607,1.2971,1.64926,0.00037625,0.00037625,0.00037625
12,3328.22,1.49217,1.31586,1.46583,0.70628,0.70391,0.74131,0.28622,1.81418,1.39725,1.65369,0.000363875,0.000363875,0.000363875
13,3589.43,1.41453,1.26599,1.39062,0.72188,0.78599,0.83384,0.32587,1.81492,1.41046,1.65315,0.0003515,0.0003515,0.0003515
14,3885.29,1.48316,1.25763,1.37031,0.73194,0.83932,0.83721,0.34415,1.83169,1.23704,1.69433,0.000339125,0.000339125,0.000339125
15,4155.41,1.43108,1.17074,1.43591,0.73955,0.83198,0.84149,0.33271,1.87402,1.23078,1.74398,0.00032675,0.00032675,0.00032675
16,4423.12,1.5714,1.15503,1.45249,0.72356,0.81601,0.81272,0.30434,1.9425,1.21127,1.83728,0.000314375,0.000314375,0.000314375
17,4689.94,1.50953,1.13771,1.43123,0.74807,0.81612,0.87277,0.41647,1.66395,1.13383,1.59821,0.000302,0.000302,0.000302
18,4951.75,1.4575,1.11356,1.45958,0.7825,0.77725,0.84447,0.311,1.86615,1.24453,1.75388,0.000289625,0.000289625,0.000289625
19,5251.86,1.49281,1.1088,1.42456,0.76902,0.77714,0.85448,0.32962,1.83805,1.20672,1.73429,0.00027725,0.00027725,0.00027725
20,5538.13,1.46496,1.09266,1.39732,0.78644,0.80216,0.87788,0.38411,1.73657,1.15287,1.64546,0.000264875,0.000264875,0.000264875
21,5814.21,1.40114,1.1083,1.42596,0.79494,0.76025,0.86341,0.35602,1.798,1.21258,1.67976,0.0002525,0.0002525,0.0002525
22,6085.36,1.3997,1.04855,1.38635,0.84757,0.80474,0.89142,0.37213,1.79652,1.14199,1.67704,0.000240125,0.000240125,0.000240125
23,6366.59,1.42283,1.03559,1.4367,0.83625,0.80899,0.89976,0.42514,1.69903,1.06601,1.61084,0.00022775,0.00022775,0.00022775
