epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.41098,3.10115,4.08941,2.18653,0.34523,0.3313,0.31005,0.16139,1.70915,3.6467,1.15031,0.09005,5e-05,5e-05
2,10.9618,1.9631,1.93544,1.34097,0.55424,0.10088,0.11348,0.04852,2.03831,3.46008,1.39674,0.0791029,0.000102921,0.000102921
3,14.9767,1.73181,1.48527,1.29161,0.65054,0.39474,0.4194,0.18304,1.77115,2.65664,1.33277,0.0681537,0.000153664,0.000153664
4,19.2877,1.66134,1.49847,1.23503,0.37509,0.64677,0.37194,0.12618,2.06279,2.18193,1.54684,0.0572022,0.000202229,0.000202229
5,23.2803,1.65107,1.41449,1.31675,0.51896,0.7384,0.55346,0.22302,1.96321,1.8905,1.60706,0.0462486,0.000248616,0.000248616
6,28.0151,1.58918,1.35067,1.24746,0.55384,0.77889,0.67227,0.30269,1.81543,1.37473,1.54058,0.0352928,0.000292825,0.000292825
7,32.3792,1.56101,1.33996,1.21052,0.62854,0.758,0.715,0.26204,1.90072,1.44672,1.61131,0.0243349,0.000334856,0.000334856
8,36.4004,1.60209,1.30177,1.19986,0.6947,0.74434,0.76694,0.28416,1.83982,1.4081,1.58145,0.0133747,0.000374709,0.000374709
9,41.1682,1.60622,1.28668,1.26769,0.58774,0.71173,0.66909,0.22253,1.985,1.57449,1.69295,0.00241238,0.000412384,0.000412384
10,45.7302,1.53233,1.24821,1.20884,0.73143,0.74337,0.77426,0.36201,1.63729,1.24359,1.413,0.0004109,0.0004109,0.0004109
11,49.9496,1.53091,1.28149,1.18335,0.52111,0.78697,0.66978,0.26966,1.74341,1.42869,1.46195,0.000401,0.000401,0.000401
12,54.0883,1.53656,1.25061,1.23629,0.7265,0.75154,0.77909,0.34286,1.64663,1.23272,1.396,0.0003911,0.0003911,0.0003911
13,58.18,1.49975,1.17485,1.18084,0.6984,0.71564,0.73962,0.33057,1.66407,1.28485,1.40926,0.0003812,0.0003812,0.0003812
14,62.232,1.53058,1.20481,1.20246,0.75381,0.75976,0.81103,0.37759,1.64663,1.20661,1.39639,0.0003713,0.0003713,0.0003713
15,66.4505,1.55291,1.17378,1.19004,0.73913,0.85516,0.84657,0.40294,1.6235,1.1568,1.38911,0.0003614,0.0003614,0.0003614
16,70.6741,1.49356,1.13583,1.17655,0.7789,0.80862,0.86372,0.3736,1.66618,1.16335,1.40999,0.0003515,0.0003515,0.0003515
17,74.8461,1.52635,1.18301,1.25674,0.70906,0.88607,0.82391,0.42474,1.55103,1.04658,1.32815,0.0003416,0.0003416,0.0003416
18,79.3713,1.48663,1.1602,1.15943,0.75103,0.8434,0.85855,0.39086,1.67512,1.11336,1.40506,0.0003317,0.0003317,0.0003317
19,83.3639,1.51319,1.15441,1.20931,0.77102,0.76182,0.84933,0.38482,1.68547,1.19836,1.40421,0.0003218,0.0003218,0.0003218
20,87.4514,1.4793,1.10758,1.15713,0.76547,0.85813,0.86184,0.40356,1.6986,1.09794,1.40588,0.0003119,0.0003119,0.0003119
21,91.522,1.46622,1.08845,1.2041,0.74118,0.85994,0.83525,0.3788,1.73365,1.11472,1.42751,0.000302,0.000302,0.000302
22,95.6397,1.46888,1.07875,1.16609,0.75639,0.84198,0.85522,0.42426,1.59717,1.04423,1.34678,0.0002921,0.0002921,0.0002921
23,100.066,1.44807,1.05644,1.15506,0.79593,0.83237,0.89062,0.46173,1.5596,1.01147,1.32335,0.0002822,0.0002822,0.0002822
24,104.306,1.46574,1.01463,1.19476,0.81973,0.81323,0.89644,0.42948,1.63869,1.01957,1.36378,0.0002723,0.0002723,0.0002723
25,108.274,1.44645,0.99637,1.17318,0.83332,0.8023,0.89071,0.43347,1.62814,1.00118,1.36531,0.0002624,0.0002624,0.0002624
26,112.225,1.43794,1.01608,1.17638,0.78813,0.8011,0.84936,0.34307,1.82636,1.10211,1.50717,0.0002525,0.0002525,0.0002525
27,116.193,1.44651,1.00423,1.1942,0.79312,0.8455,0.88424,0.3971,1.75376,1.03152,1.45614,0.0002426,0.0002426,0.0002426
28,120.286,1.42973,0.99268,1.19397,0.76896,0.82807,0.88855,0.41815,1.72738,1.05956,1.43338,0.0002327,0.0002327,0.0002327
29,124.253,1.41188,1.00104,1.14929,0.78065,0.86089,0.87954,0.41963,1.65719,1.01179,1.3955,0.0002228,0.0002228,0.0002228
30,128.241,1.44848,0.99976,1.19128,0.79806,0.82429,0.89687,0.42787,1.6528,1.00085,1.38466,0.0002129,0.0002129,0.0002129
31,133.717,1.43899,0.96246,1.13626,0.78512,0.85567,0.89418,0.48211,1.52616,0.9615,1.30074,0.000203,0.000203,0.000203
32,141.029,1.42303,0.96519,1.17974,0.81315,0.84004,0.89823,0.44223,1.60621,0.98628,1.33882,0.0001931,0.0001931,0.0001931
33,147.218,1.40298,0.92577,1.17967,0.79127,0.84569,0.89461,0.43215,1.64288,0.99657,1.35919,0.0001832,0.0001832,0.0001832
34,155.774,1.41431,0.9175,1.16152,0.74037,0.91743,0.89656,0.46949,1.54477,0.94008,1.31078,0.0001733,0.0001733,0.0001733
35,164.307,1.39829,0.89812,1.16494,0.74204,0.90121,0.87861,0.48529,1.51525,0.93659,1.29666,0.0001634,0.0001634,0.0001634
36,173.036,1.46314,0.93634,1.1634,0.76326,0.87672,0.86974,0.47269,1.5394,0.90733,1.30855,0.0001535,0.0001535,0.0001535
37,182.936,1.41683,0.92851,1.17819,0.79762,0.85772,0.88371,0.44228,1.63212,0.94448,1.36036,0.0001436,0.0001436,0.0001436
38,189.726,1.43593,0.91915,1.13651,0.79602,0.84722,0.8714,0.43835,1.60625,0.97565,1.34685,0.0001337,0.0001337,0.0001337
39,199.237,1.42941,0.9151,1.15235,0.74372,0.88372,0.85838,0.43365,1.61269,1.00515,1.34947,0.0001238,0.0001238,0.0001238
40,208.729,1.39921,0.88233,1.15257,0.74042,0.88498,0.84913,0.42605,1.64943,1.01656,1.37002,0.0001139,0.0001139,0.0001139
41,244.484,1.3499,0.87801,1.25829,0.80161,0.87303,0.87086,0.40657,1.72529,0.99095,1.41399,0.000104,0.000104,0.000104
42,254.081,1.43896,0.89261,1.25996,0.78918,0.87115,0.87512,0.42898,1.65043,0.98109,1.37455,9.41e-05,9.41e-05,9.41e-05
43,261.756,1.38416,0.84678,1.24021,0.79882,0.85837,0.87948,0.45389,1.581,0.97681,1.34122,8.42e-05,8.42e-05,8.42e-05
44,269.534,1.37519,0.88003,1.23439,0.78667,0.85181,0.87404,0.46364,1.56574,0.97426,1.33398,7.43e-05,7.43e-05,7.43e-05
45,277.582,1.3662,0.82743,1.23175,0.79271,0.84909,0.86902,0.45353,1.58985,0.991,1.34881,6.44e-05,6.44e-05,6.44e-05
46,287.127,1.36809,0.85777,1.24264,0.79534,0.84179,0.86147,0.45006,1.58447,0.98059,1.34591,5.45e-05,5.45e-05,5.45e-05
47,295.914,1.35666,0.85115,1.19274,0.80217,0.84178,0.85719,0.46264,1.52567,0.95457,1.31565,4.46e-05,4.46e-05,4.46e-05
48,304.251,1.329,0.84696,1.21139,0.7943,0.84616,0.86103,0.47621,1.50357,0.94402,1.3027,3.47e-05,3.47e-05,3.47e-05
49,313.123,1.38993,0.86731,1.23856,0.79624,0.84351,0.86186,0.47391,1.51193,0.95814,1.3069,2.48e-05,2.48e-05,2.48e-05
50,319.449,1.35954,0.83877,1.22288,0.79351,0.85252,0.85713,0.4661,1.53052,0.98041,1.31834,1.49e-05,1.49e-05,1.49e-05
