epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.00708,3.18887,4.62868,2.18293,0.42243,0.54239,0.4037,0.16924,1.85066,2.83102,1.43535,0.09204,4e-05,4e-05
2,10.2806,1.96059,1.86049,1.48021,0.62859,0.30702,0.20105,0.08,2.06158,6.02303,1.62721,0.0830833,8.3317e-05,8.3317e-05
3,15.0502,1.79282,1.61515,1.35831,0.38173,0.64854,0.3977,0.12702,2.0951,2.96978,1.74767,0.0741249,0.000124852,0.000124852
4,19.5088,1.68338,1.45941,1.39791,0.30628,0.72621,0.41885,0.11318,2.24991,2.32434,1.97745,0.0651646,0.000164605,0.000164605
5,23.969,1.6514,1.33816,1.34089,0.34028,0.63001,0.39894,0.11878,2.2306,2.06818,1.90399,0.0562026,0.000202576,0.000202576
6,28.3306,1.59636,1.29447,1.36186,0.44391,0.76371,0.67865,0.25556,1.97347,1.71288,1.68485,0.0472388,0.000238765,0.000238765
7,33.1094,1.58806,1.25305,1.27634,0.48486,0.78235,0.67263,0.25765,1.86318,1.48692,1.55395,0.0382732,0.000273172,0.000273172
8,37.8182,1.62292,1.26158,1.28908,0.51596,0.83559,0.64572,0.28836,1.72815,1.38791,1.45263,0.0293058,0.000305797,0.000305797
9,42.6029,1.57057,1.24115,1.30586,0.64462,0.76015,0.71587,0.27966,1.88117,1.38807,1.5767,0.0203366,0.00033664,0.00033664
10,46.9998,1.60496,1.26526,1.349,0.69367,0.76541,0.80321,0.38629,1.65212,1.21516,1.42507,0.0113657,0.000365701,0.000365701
11,51.5429,1.52623,1.22412,1.25534,0.56183,0.7881,0.7367,0.26722,1.91235,1.49367,1.6303,0.00239298,0.00039298,0.00039298
12,55.9373,1.65163,1.29972,1.3662,0.71657,0.77171,0.82575,0.37638,1.69466,1.20164,1.46125,0.0003911,0.0003911,0.0003911
13,60.2758,1.51865,1.17203,1.23074,0.72852,0.78248,0.83281,0.44462,1.54005,1.11179,1.34754,0.0003812,0.0003812,0.0003812
14,64.9267,1.55494,1.20616,1.28473,0.70733,0.80698,0.8328,0.41403,1.59977,1.22455,1.37397,0.0003713,0.0003713,0.0003713
15,69.2916,1.5625,1.19031,1.29431,0.67901,0.83103,0.82893,0.31529,1.81053,1.28673,1.52292,0.0003614,0.0003614,0.0003614
16,73.7618,1.49446,1.11876,1.23951,0.76718,0.83595,0.86933,0.40664,1.65776,1.16046,1.39993,0.0003515,0.0003515,0.0003515
17,78.398,1.49854,1.11453,1.26242,0.7653,0.83783,0.87878,0.4517,1.56784,1.10199,1.34135,0.0003416,0.0003416,0.0003416
18,83.2469,1.49778,1.11037,1.21579,0.79152,0.833,0.88537,0.44589,1.56454,1.09581,1.3408,0.0003317,0.0003317,0.0003317
19,87.7414,1.4898,1.12237,1.2298,0.7044,0.8568,0.88424,0.40821,1.65947,1.15174,1.41137,0.0003218,0.0003218,0.0003218
20,92.2156,1.49704,1.09747,1.22756,0.76334,0.81974,0.86444,0.36446,1.74721,1.18347,1.46537,0.0003119,0.0003119,0.0003119
21,96.6461,1.49117,1.06992,1.25353,0.76484,0.79434,0.88896,0.43682,1.595,1.11836,1.35145,0.000302,0.000302,0.000302
22,101.006,1.48293,1.05869,1.2763,0.78964,0.80351,0.89675,0.41588,1.65808,1.11404,1.38852,0.0002921,0.0002921,0.0002921
23,105.627,1.51154,1.0479,1.22523,0.78906,0.7915,0.88968,0.38854,1.69066,1.16132,1.41022,0.0002822,0.0002822,0.0002822
24,110.102,1.46134,1.05234,1.25384,0.76213,0.81409,0.88973,0.40809,1.65793,1.12214,1.39513,0.0002723,0.0002723,0.0002723
25,114.499,1.51681,1.07597,1.2443,0.78098,0.76414,0.86992,0.38075,1.71948,1.19093,1.43422,0.0002624,0.0002624,0.0002624
26,118.987,1.43895,1.05441,1.26238,0.82846,0.79061,0.87712,0.35734,1.75802,1.20782,1.45547,0.0002525,0.0002525,0.0002525
27,123.326,1.47489,1.01899,1.24321,0.7733,0.80477,0.871,0.37646,1.69798,1.19138,1.41176,0.0002426,0.0002426,0.0002426
28,128.731,1.44473,1.02684,1.23727,0.798,0.7983,0.86876,0.38696,1.69915,1.16378,1.41071,0.0002327,0.0002327,0.0002327
29,135.155,1.47059,1.00419,1.28244,0.80127,0.76404,0.85645,0.36637,1.81285,1.17934,1.49176,0.0002228,0.0002228,0.0002228
30,142.399,1.45341,0.99952,1.24285,0.80875,0.81848,0.86007,0.39359,1.77918,1.05907,1.47139,0.0002129,0.0002129,0.0002129
31,146.597,1.43645,0.99483,1.23582,0.77608,0.85296,0.86079,0.46018,1.58894,0.99023,1.35261,0.000203,0.000203,0.000203
32,150.886,1.4331,0.9813,1.24623,0.72657,0.87933,0.86935,0.44047,1.63473,1.03415,1.3788,0.0001931,0.0001931,0.0001931
33,154.957,1.46573,0.9565,1.27322,0.81387,0.78994,0.88034,0.4276,1.69532,1.02853,1.41244,0.0001832,0.0001832,0.0001832
34,159.157,1.41284,0.94826,1.24381,0.83665,0.7914,0.89225,0.42319,1.69401,1.02571,1.41431,0.0001733,0.0001733,0.0001733
35,163.347,1.4786,0.96137,1.24117,0.74281,0.89947,0.90852,0.45859,1.62861,0.98356,1.37674,0.0001634,0.0001634,0.0001634
36,167.633,1.44138,0.95576,1.22588,0.75543,0.90307,0.90878,0.47526,1.60483,0.94917,1.36154,0.0001535,0.0001535,0.0001535
37,171.926,1.44165,0.91236,1.24141,0.75333,0.89117,0.89469,0.44629,1.6873,0.97689,1.41049,0.0001436,0.0001436,0.0001436
38,176.063,1.46386,0.94278,1.23084,0.73769,0.90247,0.88254,0.42279,1.73146,1.01716,1.43813,0.0001337,0.0001337,0.0001337
39,180.211,1.40374,0.90462,1.167,0.74259,0.90354,0.90378,0.44684,1.65641,0.98704,1.38646,0.0001238,0.0001238,0.0001238
40,184.426,1.39366,0.87971,1.20318,0.77634,0.84722,0.89743,0.43206,1.69279,1.03589,1.40712,0.0001139,0.0001139,0.0001139
41,214.401,1.40125,0.97584,1.38946,0.79681,0.79191,0.87427,0.38088,1.84376,1.09166,1.49888,0.000104,0.000104,0.000104
42,219.03,1.3845,0.94695,1.37187,0.81849,0.80785,0.90188,0.38238,1.868,1.0768,1.51448,9.41e-05,9.41e-05,9.41e-05
43,223.694,1.40849,0.92284,1.34499,0.81118,0.81345,0.90874,0.39988,1.80671,1.05529,1.47583,8.42e-05,8.42e-05,8.42e-05
44,228.219,1.35786,0.88746,1.33564,0.8167,0.79742,0.90237,0.44417,1.66171,1.03515,1.3854,7.43e-05,7.43e-05,7.43e-05
45,232.616,1.37934,0.93211,1.3463,0.77572,0.82261,0.89263,0.43296,1.66864,1.07726,1.3884,6.44e-05,6.44e-05,6.44e-05
46,237.128,1.3655,0.88861,1.33133,0.76262,0.86184,0.89617,0.41292,1.72721,1.07955,1.42858,5.45e-05,5.45e-05,5.45e-05
47,241.655,1.3902,0.86985,1.31218,0.81392,0.81534,0.89786,0.4176,1.73063,1.04428,1.43261,4.46e-05,4.46e-05,4.46e-05
48,246.069,1.38341,0.878,1.34462,0.8223,0.8148,0.90308,0.43305,1.70465,1.01674,1.41725,3.47e-05,3.47e-05,3.47e-05
49,250.512,1.36916,0.87859,1.36196,0.83929,0.8035,0.90365,0.44577,1.67297,0.99181,1.39742,2.48e-05,2.48e-05,2.48e-05
50,254.972,1.36932,0.85428,1.31325,0.80931,0.81721,0.90575,0.4513,1.65597,0.97686,1.38778,1.49e-05,1.49e-05,1.49e-05
