epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.139,2.28621,2.77014,1.18959,0.0242,0.91589,0.61378,0.22891,2.33815,3.38768,1.16361,0.08713,0.00013,0.00013
2,121.218,2.19927,1.73235,1.18087,0.0258,0.97664,0.81539,0.33805,2.13289,3.05021,1.11429,0.0732522,0.00025218,0.00025218
3,175.197,2.22274,1.53486,1.1532,0.02543,0.96262,0.86136,0.31493,2.21056,2.69525,1.10849,0.0593559,0.00035588,0.00035588
4,225.126,2.14734,1.3221,1.15087,0.93658,0.75908,0.90141,0.33435,2.10532,2.11373,1.07103,0.0454411,0.0004411,0.0004411
5,273.567,2.12366,1.34039,1.17631,0.93824,0.85191,0.91959,0.37541,2.0382,1.72728,1.04738,0.0315078,0.00050784,0.00050784
6,321.52,2.05711,1.40661,1.1675,0.76456,0.8498,0.81834,0.33989,1.94846,1.70577,1.02302,0.0175561,0.0005561,0.0005561
7,370.807,1.98541,1.43773,1.15075,0.69216,0.87207,0.80427,0.33014,1.92096,1.64523,1.00554,0.00358588,0.00058588,0.00058588
8,418.497,1.96792,1.35177,1.12785,0.67888,0.85047,0.79474,0.2821,1.97098,1.31133,1.01572,0.000538,0.000538,0.000538
9,465.66,1.95973,1.28866,1.1222,0.71108,0.85981,0.80274,0.29092,2.05293,1.22024,1.04757,0.000472,0.000472,0.000472
10,512.24,1.91611,1.19223,1.12797,0.79892,0.86449,0.87272,0.38333,1.97198,1.15196,1.03969,0.000406,0.000406,0.000406
11,561.084,1.9425,1.19414,1.12867,0.84753,0.85716,0.88283,0.36517,2.05642,1.14118,1.06731,0.00034,0.00034,0.00034
12,608.354,1.91849,1.13355,1.14712,0.91175,0.88785,0.90277,0.37746,2.0304,1.09027,1.05332,0.000274,0.000274,0.000274
13,656.84,1.90507,1.1604,1.10643,0.90975,0.87383,0.89999,0.37718,2.00122,1.0886,1.04168,0.000208,0.000208,0.000208
14,704.831,1.9024,1.1317,1.09815,0.91832,0.87383,0.89938,0.36418,2.03648,1.08957,1.04664,0.000142,0.000142,0.000142
15,757.405,1.90157,1.12318,1.1133,0.91687,0.87615,0.9003,0.36748,2.02642,1.08375,1.04284,7.6e-05,7.6e-05,7.6e-05
