epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7841,2.67923,4.08088,1.27378,0.00057,0.02083,0.00029,3e-05,2.10685,3.80785,1.05614,4e-05,4e-05,4e-05
2,38.6324,2.43119,3.84617,1.1589,0.01444,0.54167,0.01132,0.00425,1.79703,3.63915,0.96103,8.7625e-05,8.7625e-05,8.7625e-05
3,52.3789,2.31712,3.406,1.13671,0.01889,0.70833,0.06116,0.01563,1.96713,3.56886,0.97764,0.0001204,0.0001204,0.0001204
4,66.2003,2.24158,2.77875,1.03964,0.02056,0.77083,0.06685,0.01863,1.98562,3.45629,0.98072,0.000138325,0.000138325,0.000138325
5,85.7239,2.16991,2.12587,0.99797,0.025,0.9375,0.08533,0.0263,1.84189,3.28701,0.9367,0.0001414,0.0001414,0.0001414
6,100.793,2.03908,1.47019,1.03848,0.02556,0.95833,0.09461,0.03789,1.827,3.18203,0.93765,0.000129625,0.000129625,0.000129625
7,120.822,2.00028,1.33569,1.02384,0.02556,0.95833,0.22093,0.09124,1.87417,3.07907,0.94389,0.000103,0.000103,0.000103
8,136.796,2.03095,1.29541,1.01616,0.02611,0.97917,0.25082,0.09636,1.88301,3.03939,0.9464,6.1525e-05,6.1525e-05,6.1525e-05
