epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4825,2.16134,2.7239,1.59055,0.39475,0.54977,0.39579,0.14524,1.98872,2.01615,1.44518,0.0674364,0.000163636,0.000163636
2,55.2395,1.8532,1.8011,1.3039,0.42744,0.76096,0.46023,0.21078,1.89049,1.95117,1.44361,0.0342632,0.000323763,0.000323763
3,79.5913,1.68963,1.70321,1.32246,0.32091,0.72582,0.53881,0.23704,1.70675,1.90926,1.39927,0.00108335,0.00047729,0.00047729
4,103.941,1.71221,1.79815,1.25761,0.32943,0.71169,0.41143,0.16247,1.71747,2.06809,1.42464,0.0004703,0.0004703,0.0004703
5,128.371,1.59857,1.76791,1.32992,0.5362,0.78873,0.65204,0.24067,1.88177,1.6021,1.54225,0.0004604,0.0004604,0.0004604
6,152.705,1.66915,1.57593,1.34371,0.53161,0.79806,0.67836,0.2425,1.98227,1.4308,1.60732,0.0004505,0.0004505,0.0004505
7,177.034,1.64946,1.50492,1.32627,0.66561,0.70081,0.70878,0.27555,1.88554,1.34292,1.54138,0.0004406,0.0004406,0.0004406
8,201.618,1.62256,1.47381,1.25333,0.68034,0.73681,0.72721,0.34372,1.72572,1.29031,1.43322,0.0004307,0.0004307,0.0004307
9,226.133,1.61788,1.43609,1.26902,0.64401,0.66891,0.69052,0.23424,2.02036,1.51533,1.64862,0.0004208,0.0004208,0.0004208
10,250.434,1.59916,1.3939,1.31019,0.66159,0.71453,0.7193,0.30182,1.80024,1.33336,1.47551,0.0004109,0.0004109,0.0004109
11,274.78,1.56094,1.37268,1.21475,0.63083,0.74638,0.7351,0.31954,1.76098,1.33545,1.4543,0.000401,0.000401,0.000401
12,299.268,1.55038,1.34794,1.28148,0.63308,0.75974,0.72838,0.28115,1.82676,1.3681,1.48791,0.0003911,0.0003911,0.0003911
13,323.686,1.61622,1.265,1.27687,0.66959,0.77127,0.78341,0.35737,1.71042,1.20311,1.40573,0.0003812,0.0003812,0.0003812
14,348.167,1.64752,1.28825,1.27515,0.666,0.77252,0.76318,0.31851,1.75954,1.27312,1.43237,0.0003713,0.0003713,0.0003713
15,372.52,1.61499,1.34449,1.24441,0.51499,0.73273,0.65143,0.26572,1.69442,1.38398,1.40963,0.0003614,0.0003614,0.0003614
16,396.861,1.5109,1.25747,1.21158,0.6447,0.72316,0.68202,0.24916,1.73599,1.42916,1.43193,0.0003515,0.0003515,0.0003515
17,421.349,1.56644,1.26593,1.2826,0.70623,0.79594,0.82144,0.37249,1.64838,1.17196,1.38738,0.0003416,0.0003416,0.0003416
18,445.812,1.54461,1.27709,1.24846,0.74472,0.81661,0.83407,0.37164,1.6631,1.15516,1.4021,0.0003317,0.0003317,0.0003317
19,470.313,1.53728,1.21443,1.25426,0.66669,0.78843,0.77886,0.28519,1.9012,1.2695,1.54237,0.0003218,0.0003218,0.0003218
20,494.713,1.51911,1.19062,1.20894,0.71217,0.76721,0.81247,0.32439,1.7806,1.27267,1.4641,0.0003119,0.0003119,0.0003119
21,519.114,1.47684,1.22169,1.25389,0.70428,0.79419,0.81693,0.34365,1.7151,1.26492,1.41382,0.000302,0.000302,0.000302
22,543.548,1.54107,1.22695,1.1892,0.74708,0.78788,0.83163,0.35594,1.66595,1.19808,1.37011,0.0002921,0.0002921,0.0002921
23,568.021,1.47973,1.1334,1.20335,0.76079,0.75016,0.81529,0.33326,1.72442,1.2025,1.42541,0.0002822,0.0002822,0.0002822
