epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0348,2.43624,3.72416,1.18249,0.02417,0.91772,0.06699,0.02503,1.83959,3.59253,0.91172,0.00016,0.00016,0.00016
2,89.3923,2.1583,2.13546,1.02079,0.026,0.98734,0.44737,0.17111,1.92071,3.14884,0.92641,0.000330383,0.000330383,0.000330383
3,122.461,2.02562,1.37061,1.054,0.02583,0.98101,0.61452,0.18013,1.91633,2.97721,0.95026,0.000490583,0.000490583,0.000490583
4,155.11,2.03443,1.29867,1.0175,0.02617,0.99367,0.47722,0.18467,1.65752,2.80647,0.9016,0.0006406,0.0006406,0.0006406
5,188.574,2.05368,1.26349,1.04644,0.02583,0.98101,0.83467,0.31942,2.05793,2.46049,0.98484,0.000780434,0.000780434,0.000780434
6,220.402,2.03423,1.2373,1.06284,0.79153,0.96835,0.86653,0.33979,1.89202,2.15554,0.96191,0.000910086,0.000910086,0.000910086
7,255.406,2.00216,1.22354,1.01052,0.86324,0.51936,0.82246,0.31598,1.80833,2.04297,0.93316,0.00102955,0.00102955,0.00102955
8,287.67,1.97307,1.12475,1.02011,0.83671,0.88608,0.88801,0.34947,1.77726,1.76074,0.91969,0.00113884,0.00113884,0.00113884
9,318.744,1.87987,1.10167,0.99696,0.8736,0.93038,0.91307,0.40454,1.75514,1.70331,0.92103,0.00123794,0.00123794,0.00123794
10,350.668,1.91985,1.10655,1.00109,0.78001,0.9557,0.9048,0.40487,1.78944,1.5425,0.92844,0.00132686,0.00132686,0.00132686
11,382.182,1.95463,1.08609,1.00712,0.88666,0.92405,0.94602,0.35055,1.93157,1.63808,0.94735,0.0014056,0.0014056,0.0014056
12,413.469,1.94013,1.08374,1.00106,0.86196,0.94854,0.93752,0.33915,1.85274,1.68886,0.93244,0.00137771,0.00137771,0.00137771
13,444.563,1.88962,1.09577,0.99951,0.89278,0.97468,0.9469,0.36499,1.90643,1.45315,0.94912,0.00132114,0.00132114,0.00132114
14,478.279,1.91181,1.03053,1.0038,0.93923,0.98734,0.96712,0.39928,1.9941,1.18386,0.96579,0.00126457,0.00126457,0.00126457
15,509.478,1.89621,1.0239,0.99608,0.83253,0.97468,0.86614,0.35619,1.92041,1.07492,0.95388,0.001208,0.001208,0.001208
16,543.642,1.81921,0.99849,0.99445,0.95124,0.98734,0.97733,0.43445,1.81864,0.9951,0.93546,0.00115143,0.00115143,0.00115143
17,575.655,1.84637,0.96659,0.99117,0.94668,0.98101,0.96638,0.36925,2.02238,1.02221,0.9712,0.00109486,0.00109486,0.00109486
18,607.044,1.83897,0.96527,0.99091,0.94879,0.98101,0.96308,0.37505,2.0135,1.00729,0.96939,0.00103829,0.00103829,0.00103829
19,647.168,1.77106,0.95944,0.98396,0.96615,0.98734,0.9761,0.41762,1.84857,0.9538,0.94287,0.000981714,0.000981714,0.000981714
20,686.324,1.82138,0.9668,0.97985,0.93735,0.9557,0.92535,0.35504,2.05176,1.03688,0.98905,0.000925143,0.000925143,0.000925143
21,717.876,1.83371,0.96197,0.98539,0.96269,0.97979,0.96277,0.36197,2.04847,0.99656,0.98379,0.000868571,0.000868571,0.000868571
22,750.528,1.78952,0.9199,0.97079,0.9669,0.98734,0.97408,0.4466,1.81161,0.90747,0.93264,0.000812,0.000812,0.000812
23,784.82,1.82541,0.95372,0.97688,0.97987,0.99367,0.9842,0.46288,1.73111,0.88691,0.91748,0.000755429,0.000755429,0.000755429
24,815.588,1.79074,0.90493,0.97839,0.97428,0.98734,0.9734,0.44223,1.76313,0.89118,0.9202,0.000698857,0.000698857,0.000698857
25,846.735,1.84971,0.91792,0.98257,0.96808,0.98101,0.97046,0.38178,1.91508,0.91341,0.94957,0.000642286,0.000642286,0.000642286
26,878.167,1.75227,0.9233,1.0153,0.97401,0.98734,0.97484,0.39733,1.89651,0.89846,0.94918,0.000585714,0.000585714,0.000585714
27,908.747,1.71028,0.91088,0.99644,0.97376,0.98734,0.97232,0.43167,1.8085,0.88804,0.93228,0.000529143,0.000529143,0.000529143
28,939.113,1.75485,0.91829,1.01839,0.97394,0.98734,0.97496,0.39917,1.92491,0.89462,0.95436,0.000472571,0.000472571,0.000472571
29,969.367,1.78867,0.95073,0.99094,0.96792,0.98101,0.96779,0.40561,1.8969,0.8844,0.94915,0.000416,0.000416,0.000416
30,1000.57,1.72348,0.92826,0.96131,0.96807,0.98101,0.9663,0.40902,1.87727,0.88099,0.94607,0.000359429,0.000359429,0.000359429
31,1032.15,1.66862,0.8709,0.97184,0.9677,0.98101,0.96827,0.45114,1.78644,0.87251,0.92975,0.000302857,0.000302857,0.000302857
32,1065.48,1.7013,0.88668,0.99369,0.96766,0.98101,0.97016,0.44073,1.79012,0.87163,0.92935,0.000246286,0.000246286,0.000246286
33,1096.52,1.69673,0.87618,0.97754,0.96774,0.98101,0.97065,0.43971,1.80519,0.86947,0.93149,0.000189714,0.000189714,0.000189714
34,1128.35,1.74393,0.87719,0.9987,0.96773,0.98101,0.97104,0.43394,1.81533,0.87265,0.93371,0.000133143,0.000133143,0.000133143
35,1159.29,1.70819,0.87977,0.99158,0.97401,0.98734,0.97352,0.42756,1.83311,0.88981,0.93589,7.65714e-05,7.65714e-05,7.65714e-05
