epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.576,2.64791,4.05736,1.24712,0.00085,0.03158,0.00044,0.00013,1.9553,3.76316,1.03452,6e-05,6e-05,6e-05
2,69.666,2.27264,3.65768,1.11151,0.02333,0.88421,0.06388,0.02582,1.70685,3.53792,0.93429,9.38e-05,9.38e-05,9.38e-05
3,97.7733,2.16227,3.07462,1.03452,0.02417,0.91579,0.09683,0.03338,1.79586,3.47336,0.93617,7.48e-05,7.48e-05,7.48e-05
