epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.74877,3.32824,4.99811,2.2605,0.60851,0.22555,0.14271,0.04104,2.22343,2.80458,1.49718,0.093035,3.5e-05,3.5e-05
2,12.7263,2.19566,2.35567,1.47448,0.46328,0.35257,0.29101,0.10684,1.80582,2.63318,1.3241,0.0850735,7.3515e-05,7.3515e-05
3,19.7419,1.76638,1.69632,1.28804,0.12145,0.82248,0.39335,0.16701,1.87337,2.96581,1.29754,0.0771104,0.000110446,0.000110446
4,26.7917,1.68695,1.47864,1.23905,0.43327,0.49091,0.43662,0.15125,1.98778,2.8079,1.35215,0.0691458,0.000145793,0.000145793
5,32.7504,1.58931,1.41166,1.27073,0.46852,0.53344,0.48593,0.16633,2.04671,2.19374,1.48287,0.0611796,0.000179556,0.000179556
6,39.6977,1.60902,1.37802,1.22288,0.46279,0.61628,0.46566,0.15659,2.1309,1.92573,1.54402,0.0532117,0.000211735,0.000211735
7,45.5501,1.59544,1.36711,1.20514,0.43299,0.70197,0.51684,0.20749,1.91128,1.63992,1.46804,0.0452423,0.00024233,0.00024233
8,52.4161,1.56523,1.32379,1.18313,0.57214,0.78846,0.66237,0.24026,1.93963,1.36495,1.50371,0.0372713,0.000271341,0.000271341
9,58.9863,1.56251,1.26925,1.2093,0.5241,0.77089,0.62725,0.28438,1.70264,1.37264,1.33493,0.0292988,0.000298768,0.000298768
10,65.5047,1.5198,1.27337,1.16697,0.57722,0.78405,0.70525,0.33392,1.65123,1.27786,1.29195,0.0213246,0.000324611,0.000324611
11,72.36,1.56314,1.20598,1.17081,0.68234,0.80411,0.75904,0.39915,1.65079,1.22613,1.3056,0.0133489,0.00034887,0.00034887
12,79.7355,1.52987,1.17009,1.13186,0.76657,0.84967,0.86523,0.41618,1.63653,1.14395,1.29106,0.00537155,0.000371545,0.000371545
13,86.487,1.54947,1.17069,1.16086,0.77575,0.78284,0.83077,0.43172,1.54688,1.14704,1.25055,0.0003812,0.0003812,0.0003812
14,93.1669,1.55542,1.2182,1.17229,0.73392,0.83164,0.82964,0.38065,1.626,1.22557,1.27935,0.0003713,0.0003713,0.0003713
15,98.8631,1.5268,1.19266,1.16752,0.72123,0.83165,0.84055,0.36463,1.6488,1.27124,1.30808,0.0003614,0.0003614,0.0003614
16,105.964,1.52835,1.19561,1.17637,0.7036,0.81398,0.82839,0.42764,1.48957,1.19121,1.24416,0.0003515,0.0003515,0.0003515
17,112.188,1.52319,1.19777,1.16887,0.68051,0.79061,0.79679,0.41187,1.51295,1.16278,1.25425,0.0003416,0.0003416,0.0003416
18,118.581,1.49551,1.21136,1.16669,0.74433,0.81913,0.80181,0.35023,1.64174,1.19213,1.31941,0.0003317,0.0003317,0.0003317
19,129.958,1.49244,1.15921,1.16179,0.74958,0.88611,0.86828,0.39317,1.63136,1.09104,1.32037,0.0003218,0.0003218,0.0003218
20,139.932,1.51535,1.14446,1.15855,0.72905,0.88311,0.86191,0.4461,1.54145,1.06299,1.26741,0.0003119,0.0003119,0.0003119
21,148.276,1.49206,1.16655,1.16857,0.76386,0.8281,0.87403,0.4695,1.52186,1.06334,1.25345,0.000302,0.000302,0.000302
22,154.118,1.47581,1.08222,1.16319,0.75022,0.84485,0.86269,0.4085,1.6478,1.0892,1.32121,0.0002921,0.0002921,0.0002921
23,160.742,1.50541,1.15798,1.19313,0.72572,0.82156,0.7976,0.36041,1.6923,1.16105,1.34315,0.0002822,0.0002822,0.0002822
24,167.333,1.4565,1.06968,1.16931,0.76537,0.81999,0.83909,0.4495,1.53343,1.05366,1.25828,0.0002723,0.0002723,0.0002723
